P16_complete_execution_count	P16_complete_graph_update_time	P16_complete_total_update_time	P16_complete_computation_time	P16_summarized_execution_count	P16_summarized_graph_update_time	P16_summarized_total_update_time	P16_summarized_computation_time
1	13659	35733	32549	1	11135	29731	36089
2	9926	24660	29116	2	9716	45054	35456
3	9228	26825	35487	3	9293	23396	33361
4	9198	24642	29707	4	9811	24533	40526
5	9067	22882	27771	5	9440	24753	39312
6	9056	24643	27679	6	8827	20461	36505
7	8718	26792	27930	7	8499	22707	35993
8	8573	24506	29684	8	8989	22792	69721
9	9250	24674	28410	9	8743	32730	33988
10	14524	30798	27921	10	8749	20550	35042
11	12099	26804	29889	11	8805	22778	35277
12	9649	24723	27790	12	9324	23100	32879
13	8985	22919	27857	13	9155	22652	34360
14	8807	22913	28516	14	8344	22625	32429
15	8967	24694	28106	15	8890	22635	36240
16	9152	24773	46992	16	9166	22662	36279
17	8875	22748	28098	17	8799	20495	43651
18	8799	22720	28165	18	10490	26568	60007
19	8806	22708	34390	19	15966	30082	34191
20	9072	22507	28302	20	9700	24564	38140
21	9215	26561	28211	21	8667	22493	35177
22	9863	26563	28283	22	9032	22679	37798
23	8718	24637	28810	23	11227	23425	39303
24	8869	24596	27686	24	9631	24701	36669
25	8641	22458	28418	25	10397	24721	33188
26	9469	22744	27578	26	9344	36519	37891
27	10383	26703	28333	27	9458	28779	69926
28	9152	24425	27691	28	9941	22519	43846
29	9009	22435	27630	29	9851	24937	37963
30	8701	22655	31381	30	9476	24696	40731
31	8719	24606	27865	31	8565	22537	46591
32	8814	22450	28376	32	9831	24843	35496
33	9003	24625	27725	33	9213	22664	36840
34	8396	22699	28150	34	9618	24794	35742
35	11763	28678	28128	35	9955	24881	36282
36	9188	22535	27271	36	10504	24559	34635
37	9030	24789	27624	37	9168	60805	51874
38	8075	22397	28165	38	9163	22611	36396
39	9152	22668	27237	39	10263	22584	35243
40	9534	25106	26705	40	9286	36783	38689
41	9841	24527	27169	41	9178	24483	34420
42	8745	24428	26897	42	10078	24866	49410
43	9263	22705	27407	43	9242	22878	36089
44	10456	24882	27576	44	11778	26853	36260
45	9060	24485	29626	45	12065	26674	38835
46	8822	22824	27500	46	11524	26646	37990
47	9514	26477	27622	47	13367	28558	37022
48	27675	44584	27318	48	8972	22511	55227
49	9008	24502	28186	49	11120	24580	34818
50	8425	20466	27996	50	9472	24548	37817
