execution_count	graph_update_time	total_update_time	computation_time	execution_count	graph_update_time	total_update_time	computation_time
1	20058	46029	130812	1	22165	51856	89458
2	22158	49059	130829	2	22629	48749	84623
3	19707	49008	133372	3	20612	44851	92713
4	22618	48856	131080	4	21486	48784	81690
5	20842	47327	128850	5	21088	46812	85249
6	20527	46877	135046	6	23714	52905	88316
7	22026	48981	132615	7	22895	46652	95064
8	20443	46852	131830	8	21579	46669	82122
9	21376	51002	134294	9	21717	48573	85455
10	20227	46864	131791	10	20732	46684	83161
11	21165	46861	134539	11	21311	46838	84156
12	21738	48816	135321	12	23278	48759	87353
13	21959	48645	136375	13	21101	44742	85811
14	19965	46811	131613	14	20590	44567	79308
15	21036	46696	130466	15	22655	48546	83172
16	21541	48830	133473	16	20815	46495	91903
17	20445	48803	132411	17	21388	46723	90106
18	20854	47071	133029	18	23764	48823	85111
19	21351	48744	133193	19	22459	48505	91529
20	20624	48872	137740	20	20146	46567	86502
21	24975	48699	136549	21	21078	46593	84865
22	21859	48786	134192	22	21116	44661	88510
23	20444	46960	132279	23	22450	48707	87166
24	21118	46737	133078	24	21480	48796	85956
25	19675	46743	130555	25	21790	46694	83681
26	20773	44817	132379	26	20352	44558	83372
27	20864	46780	131228	27	21156	44574	85543
28	20494	46634	131206	28	21263	46762	87693
29	22588	54610	137194	29	21566	48603	90012
30	20841	48789	132085	30	20524	46833	84470
31	20596	46928	137876	31	21177	44960	85415
32	20327	45121	134693	32	21455	44922	82635
33	21142	46728	132911	33	20695	46816	87557
34	24331	52583	137574	34	21167	44547	98765
35	20746	48626	132177	35	20855	46607	88030
36	21315	48598	132092	36	20296	44480	82445
37	23119	50912	131281	37	21379	48554	86577
38	19587	46565	139403	38	22343	46925	85072
39	20344	46845	132127	39	21449	46635	87577
40	20295	46557	131837	40	20140	44571	82334
41	21572	50612	130551	41	21193	46496	84848
42	19414	46793	135995	42	20458	46547	83056
43	22765	48680	138430	43	20882	44836	87189
44	19908	46770	134058	44	20759	44505	89363
45	22863	48951	134891	45	21438	46539	88591
46	20161	44640	135583	46	20952	44539	82097
47	20026	46641	131738	47	21916	54227	86626
48	26555	52586	133470	48	21877	47014	93864
49	22961	47024	132557	49	21715	56440	89632
50	20742	46668	134339	50	21542	48487	82032
