P1_complete_execution_count	P1_complete_graph_update_time	P1_complete_total_update_time	P1_complete_computation_time	P1_summarized_execution_count	P1_summarized_graph_update_time	P1_summarized_total_update_time	P1_summarized_computation_time	P2_complete_execution_count	P2_complete_graph_update_time	P2_complete_total_update_time	P2_complete_computation_time	P2_summarized_execution_count	P2_summarized_graph_update_time	P2_summarized_total_update_time	P2_summarized_computation_time	P4_complete_execution_count	P4_complete_graph_update_time	P4_complete_total_update_time	P4_complete_computation_time	P4_summarized_execution_count	P4_summarized_graph_update_time	P4_summarized_total_update_time	P4_summarized_computation_time	P8_complete_execution_count	P8_complete_graph_update_time	P8_complete_total_update_time	P8_complete_computation_time	P8_summarized_execution_count	P8_summarized_graph_update_time	P8_summarized_total_update_time	P8_summarized_computation_time		P16_summarized_execution_count	P16_summarized_graph_update_time	P16_summarized_total_update_time	P16_summarized_computation_time
1	37468	85516	263113	1	36142	88145	137529	1	20058	46029	130812	1	22165	51856	89458	1	15636	38382	74623	1	12205	31866	57435	1	12082	33949	46552	1	11677	33701	55724		1	10108	30358	39311
2	34911	78524	267628	2	34604	78508	127652	2	22158	49059	130829	2	22629	48749	84623	2	12687	29066	72850	2	12833	28921	53283	2	10201	28991	41998	2	8752	22843	41028		2	9699	24909	36714
3	36964	82642	260624	3	34072	78395	127590	3	19707	49008	133372	3	20612	44851	92713	3	14168	33571	75374	3	13778	32941	56755	3	10491	27291	45538	3	8530	24630	37682		3	9815	24590	35324
4	37299	84613	260511	4	38142	84393	136534	4	22618	48856	131080	4	21486	48784	81690	4	13316	33037	73735	4	12419	28868	49881	4	9446	26598	41983	4	8767	20733	37620		4	10024	24750	37771
5	38764	82321	272494	5	34742	76218	129280	5	20842	47327	128850	5	21088	46812	85249	5	13193	28824	72768	5	11785	30720	54614	5	10456	26645	42569	5	10347	22648	38509		5	9403	24707	35885
6	37274	84321	281302	6	35922	84218	133622	6	20527	46877	135046	6	23714	52905	88316	6	14030	33092	73532	6	12895	28596	53476	6	9345	24703	43094	6	9046	22746	36708		6	10651	25442	43554
7	36007	80311	265935	7	35356	82296	131652	7	22026	48981	132615	7	22895	46652	95064	7	13205	30785	71700	7	13169	28816	49949	7	13420	30624	48507	7	8828	22712	40121		7	10380	24679	35729
8	37590	84676	263505	8	34417	78287	131190	8	20443	46852	131830	8	21579	46669	82122	8	14409	33151	73482	8	12828	29011	50213	8	9260	24644	43321	8	9193	24736	34745		8	9292	22642	33893
9	38735	84298	261958	9	35958	80242	127411	9	21376	51002	134294	9	21717	48573	85455	9	12441	30641	73812	9	19329	38725	53007	9	9727	26821	43004	9	8786	20630	35795		9	16314	32651	39911
10	36834	86285	266262	10	37087	84438	133944	10	20227	46864	131791	10	20732	46684	83161	10	12689	33280	72989	10	12444	30836	51265	10	9902	26646	41786	10	12004	26795	40947		10	9984	28699	34035
